"data_year","state_name","total_agencies","participation_agencies","participating_agencies_pct","nibrs_participating_agencies","nibrs_participating_agencies","covered_agencies","covered_pct","total_population","nibrs_population"
2001,New Jersey,653,521,0.80,0,0,0,0,8531789,0
2001,New Mexico,150,82,0.55,0,0,0,0,1840977,0
2001,New York,1040,670,0.64,0,0,0,0,20795253,0
2001,North Carolina,809,448,0.55,0,0,0,0,8221148,0
2001,North Dakota,144,75,0.52,72,0.96,0,0,649488,509045
2001,Ohio,930,421,0.45,156,0.37,0,0,11648402,3217763
2001,Oklahoma,503,299,0.59,0,0,0,0,3512705,0
2001,Oregon,301,204,0.68,7,0.03,0,0,3512205,295495
2001,Other,0,0,0,0,0,0,0,0,0
2001,Pennsylvania,1882,852,0.45,0,0,0,0,12815044,0
2001,Puerto Rico,25,0,0,0,0,0,0,0,0
2001,Rhode Island,56,48,0.86,0,0,0,0,1065026,0
2001,South Carolina,571,319,0.56,319,1.00,0,0,4086286,4055834
2001,South Dakota,190,85,0.45,68,0.80,0,0,767707,292455
2001,Tennessee,589,459,0.78,459,1.00,0,0,5750195,5735728
2001,Texas,1284,952,0.74,60,0.06,1,0.00,21416331,2418623
2001,US Virgin Islands,3,0,0,0,0,0,0,0,0
2001,Utah,189,116,0.61,59,0.51,0,0,2387140,1734179
2001,Vermont,103,69,0.67,58,0.84,0,0,621815,562536
2001,Virginia,466,396,0.85,396,1.00,0,0,7194672,7147779
2001,Washington,321,242,0.75,4,0.02,0,0,6004842,554672
2001,West Virginia,479,298,0.62,298,1.00,0,0,1813493,1734491
2001,Wisconsin,490,357,0.73,1,0.00,0,0,5472216,66807
2001,Wyoming,84,65,0.77,0,0,0,0,499886,0
2002,Alabama,488,269,0.55,0,0,0,0,4516995,0
2002,Alaska,51,33,0.65,0,0,0,0,643893,0
2002,American Samoa,1,0,0,0,0,0,0,0,0
2002,Arizona,151,96,0.64,1,0.01,0,0,5468832,33834
2002,Arkansas,347,203,0.59,11,0.05,0,0,2766823,503181
2002,California,895,727,0.81,0,0,0,0,35222901,0
2002,Canal Zone,0,0,0,0,0,0,0,0,0
2002,Colorado,303,189,0.62,132,0.70,0,0,4539943,2286135
2002,Connecticut,128,101,0.79,61,0.60,0,0,3541286,1964031
2002,Delaware,82,52,0.63,52,1.00,0,0,832091,807385
2002,District of Columbia,3,2,0.67,1,0.50,0,0,570898,0
2002,Florida,836,595,0.71,0,0,0,0,16790087,0
2002,Georgia,815,555,0.68,0,0,0,0,8593897,0
2002,Guam,3,0,0,0,0,0,0,0,0
2002,Hawaii,15,4,0.27,0,0,0,0,1350867,0
2002,Idaho,150,117,0.78,117,1.00,0,0,1378653,1328471
2002,Illinois,1083,7,0.01,1,0.14,0,0,12671130,152307
2002,Indiana,448,279,0.62,0,0,0,0,6174803,0
2002,Iowa,297,221,0.74,221,1.00,0,0,2963614,2864063
2002,Kansas,473,325,0.69,324,1.00,0,0,2786107,2340716
2002,Kentucky,722,25,0.03,17,0.68,0,0,4118154,536056
2002,Louisiana,313,188,0.60,0,0,0,0,4529119,0
2002,Maine,242,180,0.74,0,0,0,0,1329171,0
2002,Mariana Islands,1,0,0,0,0,0,0,0,0
2002,Maryland,216,148,0.69,0,0,0,0,5615508,0
2002,Massachusetts,502,334,0.67,220,0.66,0,0,6442064,3794988
2002,Michigan,859,623,0.73,615,0.99,0,0,10348434,8788708
2002,Minnesota,495,309,0.62,6,0.02,0,0,5086860,668783
2002,Mississippi,273,126,0.46,0,0,0,0,2871782,0
2002,Missouri,725,569,0.78,0,0,0,0,5684884,0
2002,Montana,143,75,0.52,0,0,0,0,981132,0
2002,Nebraska,336,242,0.72,44,0.18,0,0,1794722,440569
2002,Nevada,78,35,0.45,0,0,0,0,2180572,0
2002,New Hampshire,264,131,0.50,49,0.37,0,0,1340548,449638
2002,New Jersey,653,518,0.79,0,0,0,0,8638252,0
2002,New Mexico,150,83,0.55,0,0,0,0,1866916,0
2002,New York,1040,679,0.65,0,0,0,0,20955239,0
2002,North Carolina,809,443,0.55,0,0,0,0,8347250,0
2002,North Dakota,144,73,0.51,70,0.96,0,0,650180,506733
2002,Ohio,930,460,0.49,210,0.46,0,0,11678044,4445014
2002,Oklahoma,503,301,0.60,0,0,0,0,3544795,0
2002,Oregon,301,166,0.55,11,0.07,0,0,3562454,305146
2002,Other,0,0,0,0,0,0,0,0,0
2002,Pennsylvania,1877,923,0.49,0,0,0,0,12859638,0
2002,Puerto Rico,25,0,0,0,0,0,0,0,0
2002,Rhode Island,56,48,0.86,0,0,0,0,1075893,0
2002,South Carolina,570,396,0.69,396,1.00,0,0,4125577,4101434
2002,South Dakota,190,98,0.52,84,0.86,0,0,772235,370115
2002,Tennessee,587,454,0.77,454,1.00,0,0,5812035,5796512
2002,Texas,1284,970,0.76,63,0.06,0,0,21857459,2635163
2002,US Virgin Islands,3,0,0,0,0,0,0,0,0
2002,Utah,189,114,0.60,57,0.50,0,0,2444864,1764253
2002,Vermont,103,69,0.67,57,0.83,0,0,625369,565746
2002,Virginia,466,395,0.85,395,1.00,0,0,7300583,7234922
2002,Washington,321,238,0.74,8,0.03,0,0,6093559,690869
2002,West Virginia,479,334,0.70,334,1.00,0,0,1813445,1687179
2002,Wisconsin,490,361,0.74,1,0.00,3,0.01,5518622,20149
2002,Wyoming,84,64,0.76,0,0,0,0,504213,0
2003,Alabama,488,306,0.63,0,0,0,0,4531274,0
2003,Alaska,51,33,0.65,0,0,0,0,648921,0
2003,American Samoa,1,0,0,0,0,0,0,0,0
2003,Arizona,151,95,0.63,1,0.01,3,0.03,5602641,34763
2003,Arkansas,346,196,0.57,133,0.68,0,0,2773659,1588733
2003,California,895,727,0.81,0,0,0,0,35592667,0
2003,Canal Zone,0,0,0,0,0,0,0,0,0
2003,Colorado,303,194,0.64,135,0.70,0,0,4584627,2397770
2003,Connecticut,128,101,0.79,67,0.66,0,0,3565135,2097750
2003,Delaware,82,53,0.65,53,1.00,0,0,841448,817491
2003,District of Columbia,3,2,0.67,1,0.50,0,0,563384,0
2003,Florida,836,596,0.71,0,0,0,0,17102484,0
2003,Georgia,815,525,0.64,0,0,0,0,8719493,0
2003,Guam,3,0,0,0,0,0,0,0,0
2003,Hawaii,15,4,0.27,0,0,0,0,1364659,0
2003,Idaho,150,119,0.79,119,1.00,0,0,1407177,1357404
2003,Illinois,1083,7,0.01,1,0.14,0,0,12719599,151703
2003,Indiana,448,284,0.63,0,0,0,0,6214751,0
2003,Iowa,297,226,0.76,226,1.00,0,0,2973146,2916051
2003,Kansas,473,345,0.73,344,1.00,0,0,2794304,2382320
2003,Kentucky,722,28,0.04,18,0.64,2,0.07,4145297,844645
2003,Louisiana,313,181,0.58,9,0.05,0,0,4542081,203355
2003,Maine,242,165,0.68,1,0.01,11,0.07,1344343,15765
2003,Mariana Islands,1,0,0,0,0,0,0,0,0
2003,Maryland,216,149,0.69,0,0,0,0,5672192,0
2003,Massachusetts,502,334,0.67,234,0.70,0,0,6447698,4047450
2003,Michigan,859,620,0.72,611,0.99,0,0,10392804,8622143
2003,Minnesota,495,319,0.64,3,0.01,1,0.00,5135884,411821
2003,Mississippi,273,125,0.46,0,0,0,0,2881281,0
2003,Missouri,724,588,0.81,0,0,4,0.01,5732950,0
2003,Montana,143,77,0.54,0,0,0,0,987421,0
2003,Nebraska,336,243,0.72,60,0.25,0,0,1803654,531122
2003,Nevada,78,35,0.45,0,0,0,0,2247570,0
2003,New Hampshire,256,136,0.53,135,0.99,0,0,1347486,901753
2003,New Jersey,653,521,0.80,0,0,0,0,8688836,0
2003,New Mexico,150,86,0.57,0,0,0,0,1892610,0
2003,New York,1040,677,0.65,0,0,0,0,21018067,0
2003,North Carolina,809,450,0.56,0,0,0,0,8433301,0
2003,North Dakota,144,68,0.47,65,0.96,0,0,650626,495315
2003,Ohio,930,461,0.50,227,0.49,0,0,11693154,5747245
